
ID, TotalProcessorTime(SecurityIDType),ThreadState, WaitReason,StartAddress 
22412,00:00:00,Wait,UserRequest,439625264
2392,00:00:00,Wait,UserRequest,439625264
24988,00:00:00,Wait,EventPairLow,439625264
30624,00:00:00,Wait,EventPairLow,439625264
30152,00:00:00.0156250,Wait,UserRequest,439625264
27592,00:00:01.1562500,Running,,439625264
2628,00:22:35.2812500,Wait,ExecutionDelay,439625264
19020,00:22:35.4843750,Wait,ExecutionDelay,439625264
13916,00:22:35.9062500,Wait,ExecutionDelay,439625264
3832,00:22:37.9062500,Wait,ExecutionDelay,439625264
22856,00:22:40.1562500,Wait,ExecutionDelay,439625264
11036,00:22:41.6406250,Wait,ExecutionDelay,439625264
20144,00:22:43.6250000,Wait,ExecutionDelay,439625264
21328,00:22:43.7500000,Wait,ExecutionDelay,439625264
