
Name,Physical memory usage,Base priority, User processor time, Privileged processor time, Total processor time, Paged system memory size, Paged memory size
VideoOS.Recorder.Service.TrayController,43446272,8,Normal,03:26:10.8437500,00:00:28.2343750,03:26:39.0781250,410112,16011264
ID, TotalProcessorTime(SecurityIDType),ThreadState, WaitReason,StartAddress 
21328,00:25:56.7187500,Wait,ExecutionDelay,439625264
20144,00:25:53.3593750,Wait,ExecutionDelay,439625264
11036,00:25:51.9375000,Wait,ExecutionDelay,439625264
22856,00:25:50.1562500,Wait,ExecutionDelay,439625264
3832,00:25:47.7187500,Wait,ExecutionDelay,439625264
19020,00:25:47.1562500,Wait,ExecutionDelay,439625264
13916,00:25:45.4375000,Wait,ExecutionDelay,439625264
2628,00:25:45.0468750,Wait,ExecutionDelay,439625264
27592,00:00:01.5156250,Wait,UserRequest,439625264
30152,00:00:00.0156250,Wait,UserRequest,439625264
2392,00:00:00,Wait,UserRequest,439625264
22412,00:00:00,Wait,UserRequest,439625264
30624,00:00:00,Wait,EventPairLow,439625264
24988,00:00:00,Wait,EventPairLow,439625264
